Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
32.068, -1, -1, 380.009, -0.00788443, 297, 180, 0, 0, 1, 4.42222, 10, 35, 325.186, 0.0321181, 297.105, 179.986, -0.0120072, 0.0195306
52.702, -1, -2, 325.186, -228.568, 297, 180, 0, 0, 1, 2.98227, 6, 29, 318.352, -228.579, 297.027, -179.995, 0.00118653, 0.00523031
74.612, -1, -3, 318.327, -228.595, 296.984, -179.988, 0.00807094, 0.00591301, 1, 9.34674, 12, 36, 378.598, 316.016, 297.103, -179.978, -0.00436823, -0.0101035
74.612, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 16.7512, 28, 100, 334.671, 317.329, 297, 180, 0, 0
Fine Spiral Search
102.586, 0, 0, 433.19, 212.739, 297, 180, 0, 0, 1, 3.49455, NA, 67, 431.72, 214.714, 296.991, -179.999, -0.00986593, 0.00832522
121.345, 0, 1, 418.059, -242.282, 296.991, -179.999, -0.00986593, 0.00832522, 1, 0.0002547, NA, 1, 418.007, -242.325, 296.964, -179.991, -0.00194146, 0.0137499
