Goal, TEST
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
25.206, -1, -1, 380.001, 0.00793465, 297, 180, 0, 0, 1, 3.37289, 10, 27, 344.821, -0.0124008, 296.908, 179.998, 0.0156972, 0.0039379
44.795, -1, -2, 344.821, 228.588, 297, 180, 0, 0, 1, 3.64267, 4, 29, 367.319, 228.571, 296.826, 179.986, 0.0301022, 0.0156445
67.164, -1, -3, 367.33, 228.547, 296.802, 179.979, 0.0289144, 0.0211056, 1, 7.09452, 18, 65, 388.873, 200.34, 296.581, 179.973, 0.0726532, 0.0234724
67.164, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 14.1101, 32, 121, 364.774, 202.712, 297, 180, 0, 0
