Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
32.446, -1, -1, 379.993, -0.0338963, 297, 180, 0, 0, 1, 4.60794, 11, 32, 285.249, -0.0504443, 296.841, 179.994, 0.024399, -0.0114245
53.262, -1, -2, 285.249, -228.65, 297, 180, 0, 0, 1, 3.04732, 6, 29, 278.729, -228.608, 296.956, -179.993, 0.0075039, 0.0165295
75.279, -1, -3, 278.724, -228.592, 296.931, -179.99, 0.012997, 0.0268261, 1, 9.26488, 12, 32, 323.272, 350.803, 296.859, -179.998, 0.0172827, 0.00355516
75.279, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 16.9201, 29, 93, 295.281, 351.601, 297, 180, 0, 0
Fine Spiral Search
103.294, 0, 0, 393.943, 247.145, 297, 180, 0, 0, 1, 1.02757, NA, 21, 392.942, 247.507, 296.97, 179.999, 0.0063757, -0.00536491
119.576, 0, 1, 379.905, -209.507, 296.97, 179.999, 0.0063757, -0.00536491, 1, 8.43e-05, NA, 1, 379.865, -209.52, 296.943, -179.993, 0.00863543, -0.0103548
