Goal, RMMASq3
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
31.943, -1, -1, 380.002, -0.000593614, 297, 180, 0, 0, 1, 3.52431, 11, 28, 349.981, 0.0140036, 296.787, -179.989, 0.0409845, 0.0112863
51.575, -1, -2, 349.981, 228.614, 297, 180, 0, 0, 1, 4.96144, 13, 40, 353.445, 228.633, 296.779, 179.994, 0.0377353, -0.00343288
75.269, -1, -3, 353.464, 228.617, 296.784, 179.987, 0.0290817, -0.00348765, 1, 10.7403, 16, 48, 394.374, -342.2, 296.794, 179.996, 0.0256232, 0.00534579
75.269, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 19.226, 40, 116, 344.808, -341.449, 297, 180, 0, 0
Fine Spiral Search
104.389, 0, 0, 397.141, -240.63, 297, 180, 0, 0, 1, 2.07961, NA, 41, 395.633, -240.194, 297.041, 179.991, -0.00557369, -0.0123888
121.725, 0, 1, 402.56, 216.954, 297.041, 179.991, -0.00557369, -0.0123888, 1, 9.51367e-05, NA, 1, 402.485, 216.993, 297.008, 179.984, 0.00965724, -0.00806729
